x1_verts,x2_verts,n_verts_perterbed,delta,dcorr_median,mgc_median,dcorr_opt,mgc_opt
20,20,0,0.5,0.02,0.032,0.02,0.022
20,20,0,1.0,0.004,0.02,0.006,0.008
40,40,0,0.5,0.028,0.158,0.014,0.022
40,40,0,1.0,0.05,0.148,0.024,0.026
60,60,0,0.5,0.188,0.408,0.034,0.07
60,60,0,1.0,0.172,0.432,0.018,0.05
80,80,0,0.5,0.286,0.58,0.02,0.046
80,80,0,1.0,0.322,0.59,0.02,0.058
100,100,0,0.5,0.442,0.696,0.024,0.064
100,100,0,1.0,0.408,0.686,0.044,0.074
120,120,0,0.5,0.55,0.762,0.022,0.056
120,120,0,1.0,0.54,0.736,0.038,0.068
140,140,0,0.5,0.61,0.768,0.022,0.036
140,140,0,1.0,0.606,0.772,0.032,0.06
160,160,0,0.5,0.668,0.794,0.02,0.028
160,160,0,1.0,0.694,0.812,0.024,0.032
180,180,0,0.5,0.71,0.798,0.024,0.032
180,180,0,1.0,0.688,0.766,0.016,0.02
200,200,0,0.5,0.744,0.826,0.024,0.028
200,200,0,1.0,0.732,0.818,0.036,0.042
20,20,10,0.5,0.012,0.03,0.012,0.01
20,20,10,1.0,0.008,0.034,0.012,0.02
40,40,20,0.5,0.032,0.13,0.02,0.028
40,40,20,1.0,0.048,0.152,0.028,0.03
60,60,30,0.5,0.112,0.37,0.028,0.042
60,60,30,1.0,0.1,0.364,0.024,0.062
80,80,40,0.5,0.192,0.568,0.03,0.068
80,80,40,1.0,0.216,0.622,0.028,0.12
100,100,50,0.5,0.326,0.702,0.034,0.114
100,100,50,1.0,0.292,0.766,0.048,0.21
120,120,60,0.5,0.406,0.738,0.03,0.134
120,120,60,1.0,0.442,0.874,0.076,0.33
140,140,70,0.5,0.512,0.828,0.028,0.146
140,140,70,1.0,0.536,0.906,0.098,0.376
160,160,80,0.5,0.542,0.84,0.048,0.188
160,160,80,1.0,0.582,0.92,0.108,0.386
180,180,90,0.5,0.616,0.87,0.062,0.184
180,180,90,1.0,0.738,0.954,0.158,0.45
200,200,100,0.5,0.642,0.888,0.058,0.242
200,200,100,1.0,0.716,0.98,0.154,0.58
20,20,20,0.5,0.008,0.028,0.008,0.014
20,20,20,1.0,0.02,0.092,0.02,0.032
40,40,40,0.5,0.02,0.116,0.018,0.018
40,40,40,1.0,0.052,0.272,0.026,0.062
60,60,60,0.5,0.076,0.346,0.02,0.074
60,60,60,1.0,0.134,0.56,0.048,0.25
80,80,80,0.5,0.156,0.616,0.042,0.262
80,80,80,1.0,0.33,0.88,0.12,0.63
100,100,100,0.5,0.238,0.866,0.05,0.558
100,100,100,1.0,0.484,0.99,0.236,0.962
120,120,120,0.5,0.434,0.958,0.09,0.836
120,120,120,1.0,0.692,1.0,0.41,0.99
140,140,140,0.5,0.47,0.994,0.124,0.972
140,140,140,1.0,0.844,1.0,0.636,1.0
160,160,160,0.5,0.578,0.998,0.176,0.994
160,160,160,1.0,0.932,1.0,0.812,1.0
180,180,180,0.5,0.642,1.0,0.226,1.0
180,180,180,1.0,0.982,1.0,0.93,1.0
200,200,200,0.5,0.736,1.0,0.334,1.0
200,200,200,1.0,0.998,1.0,0.986,1.0
